#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
faction_remove_king_peace_decision;Demand Removal of The King's Peace;;;;;;;;;;;;;x
faction_remove_king_peace_decision_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding the removal of The King's Peace. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;;;;;x
faction_remove_king_peace_title;Remove The King's Peace in [This.GetName];;;;;;;;;;;;;x
faction_remove_king_peace_desc;Members seek to remove The King's Peace in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;;;;;x
faction_remove_emperor_peace_decision;Demand Removal of The Emperor's Peace;;;;;;;;;;;;;x
faction_remove_emperor_peace_decision_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding the removal of The Emperor's Peace. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;;;;;x
faction_remove_emperor_peace_title;Remove The Emperor's Peace in [This.GetName];;;;;;;;;;;;;x
faction_remove_emperor_peace_desc;Members seek to remove The Emperor's Peace in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;;;;;x
faction_remove_revokation_decision;Demand Removal of Title Revocation;;;;;;;;;;;;;x
faction_remove_revokation_decision_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding the removal of Title Revocation. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;;;;;x
faction_remove_revokation_title;Remove Title Revocation in [This.GetName];;;;;;;;;;;;;x
faction_remove_revokation_desc;Members seek to remove Title Revocation in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;;;;;x
faction_remove_inheritance_decision;Demand Removal of Protected Inheritance;;;;;;;;;;;;;x
faction_remove_inheritance_decision_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding the removal of Protected Inheritance. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;;;;;x
faction_remove_inheritance_title;Remove Protected Inheritance in [This.GetName];;;;;;;;;;;;;x
faction_remove_inheritance_desc;Members seek to remove Protected Inheritance in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;;;;;x
faction_lower_crown_levies_decision;Demand Reduced Crown Levies;;;;;;;;;;;;;x
faction_lower_crown_levies_decision_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding lower Crown Levies. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;;;;;x
faction_lower_crown_levies_title;Reduce Crown Levies in [This.GetName];;;;;;;;;;;;;x
faction_lower_crown_levies_desc;Members seek to reduce Crown Levies in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;;;;;x
obj_convert_a_province_title;Convert a Province;;;;;;;;;;;;;x
obj_convert_a_province_desc;You want to convert a province, making your religious head happy and showing your piety to the world. Your stewardship will be reduced by two as you're busy helping your court chaplain convert the heathens.;;;;;;;;;;;;;x
obj_amass_fortune_title;Amass Fortune;;;;;;;;;;;;;x
obj_amass_fortune_desc;[This.GetTitledFirstName] is already well-off, but seeks a true fortune.;;;;;;;;;;;;;x
obj_amass_hoard_title;Amass a Hoard of Wealth;;;;;;;;;;;;;x
obj_amass_hoard_desc;[This.GetTitledFirstName] wants to swim in [This.GetHerHis] vault of gold!;;;;;;;;;;;;;x
obj_publicly_pious_title;Be Seen Publicly As Pious;;;;;;;;;;;;;x
obj_publicly_pious_desc;[This.GetTitledFirstName] wants to be known to all as a pious man;;;;;;;;;;;;;x
obj_known_for_virtue_desc;[This.GetTitledFirstName] seeks to become known for [This.GetObjectPronoun] virtues.;;;;;;;;;;;;;x
obj_become_distinguished_title;Become Distinguished Among the Nobility;;;;;;;;;;;;;x
obj_become_distinguished_desc;[This.GetTitledFirstName] seeks to become distinguished among the nobility;;;;;;;;;;;;;x
obj_seek_fame_glory_title;Seek Fame and Glory;;;;;;;;;;;;;x
obj_seek_fame_glory_desc;While already notable, [This.GetTitledFirstName] thinks [This.GetObjectPronoun] deserves true fame and glory for [This.GetHerHis] deeds.;;;;;;;;;;;;;x
opinion_known_virtue;Virtuous;;;;;;;;;;;;;x
opinion_fame_glory;Glorious;;;;;;;;;;;;;x
